X1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,propMale,propHindu,propOther,classsize,internelEdge,ownGendAtt,othGendAtt,ownGendAdv,gradeCent,ownReligAdv
1,A0302,3,A,3A,Muslim,Friends,Friend1,1,5,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,3,2,1,1,1,4,1,1,1,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
2,A0302,3,A,3A,Muslim,Friends,Friend2,1,8,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,5,3,2,1,2,4,1,1,1,1,4,1,7,NA,NA,NA,NA,NA,1,3,4,2,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
3,A0302,3,A,3A,Muslim,Friends,Friend3,1,9,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,2,2,1,1,1,4,1,1,1,1,4,1,4,NA,NA,NA,NA,NA,5,2,5,4,6,2,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
4,A0302,3,A,3A,Muslim,Friends,Friend4,1,11,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,3,2,1,1,1,5,4,1,1,1,7,6,6,NA,NA,NA,NA,NA,1,4,4,2,7,4,1,5,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
5,A0302,3,A,3A,Muslim,Friends,Friend5,1,14,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,3,4,2,1,2,2,2,2,1,1,4,4,4,NA,NA,NA,NA,NA,NA,2,3,2,6,NA,NA,NA,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
6,A0302,3,A,3A,Muslim,Friends,Friend6,1,29,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,3,1,2,1,1,1,4,1,1,1,1,4,2,1,NA,NA,NA,NA,NA,1,1,3,5,7,4,1,6,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
7,A0302,3,A,3A,Muslim,Friends,Friend7,1,33,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,1,1,1,1,1,1,1,1,1,1,4,1,4,NA,NA,NA,NA,NA,1,1,1,1,7,1,1,7,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
8,A0303,3,A,3A,Hindu,Friends,Friend1,1,2,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,0,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
9,A0303,3,A,3A,Hindu,Friends,Friend2,1,4,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Hindu,2,2,4,1,1,1,4,1,1,5,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,7,6,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
10,A0303,3,A,3A,Hindu,Friends,Friend3,1,18,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Hindu,5,2,4,1,3,1,4,1,4,3,1,2,1,1,NA,NA,NA,NA,NA,3,1,3,3,7,2,7,4,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
11,A0303,3,A,3A,Hindu,Friends,Friend4,1,23,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Hindu,3,4,1,1,2,1,3,1,1,1,1,4,4,6,NA,NA,NA,NA,NA,1,1,2,3,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
12,A0303,3,A,3A,Hindu,Friends,Friend5,1,27,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Hindu,2,1,1,1,1,1,4,1,2,1,1,7,7,1,NA,NA,NA,NA,NA,1,1,3,3,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
13,A0303,3,A,3A,Hindu,Friends,Friend6,1,31,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Hindu,2,1,1,1,1,1,4,1,1,1,1,4,5,2,NA,NA,NA,NA,NA,1,2,1,4,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,1,1.545802431544164,-3.5,6
14,A0304,3,A,3A,Hindu,Friends,Friend1,1,3,M,4,NA,7,6,NA,7,1,7,7,4,6,4,7,8,NA,1,2,2,4,1,1,1,4,4,1,1,5,1,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,6,-0.602652129,-3.5,6
15,A0304,3,A,3A,Hindu,Friends,Friend2,1,5,M,4,NA,7,6,NA,7,1,7,7,4,6,4,7,8,NA,1,2,2,4,1,1,1,4,4,1,1,5,1,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,1,3,2,1,1,1,4,1,1,1,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,7,1,1,7,1,0,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,6,-0.602652129,-3.5,6
16,A0304,3,A,3A,Hindu,Friends,Friend3,1,7,M,4,NA,7,6,NA,7,1,7,7,4,6,4,7,8,NA,1,2,2,4,1,1,1,4,4,1,1,5,1,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,M,Hindu,1,2,3,1,1,1,4,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,7,3,7,4,1,1,A3,-0.266969469,-0.085396076,-0.131409434,-0.032201293,-0.01676318,7,6,-0.602652129,-3.5,6
