X1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,propMale,propHindu,propOther,classsize,internelEdge,ownGendAtt,othGendAtt,ownGendAdv,gradeCent,ownReligAdv
1,A0501,5,A,5A,Muslim,Enemies,Enemy1,2,5,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Hindu,1,2,2,2,1,1,4,1,4,1,1,4,4,4,2,1,1,1,1,1,1,2,2,7,6,7,6,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
2,A0501,5,A,5A,Muslim,Enemies,Enemy2,2,7,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Hindu,3,3,1,2,2,1,1,3,2,1,2,4,2,1,3,1,2,2,2,1,1,2,2,7,1,NA,2,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
3,A0501,5,A,5A,Muslim,Enemies,Enemy3,2,8,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Hindu,1,1,1,1,1,2,1,3,4,3,2,4,1,1,3,3,3,3,2,1,2,3,2,7,4,7,4,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
4,A0501,5,A,5A,Muslim,Enemies,Enemy4,2,12,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Hindu,2,3,4,1,2,1,5,5,1,4,1,4,1,5,3,4,1,1,3,2,5,1,3,7,4,3,4,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
5,A0501,5,A,5A,Muslim,Enemies,Enemy5,2,16,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Muslim,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,5,4,2,3,1,2,2,1,7,2,2,7,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
6,A0501,5,A,5A,Muslim,Enemies,Enemy6,2,18,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Hindu,1,1,2,1,1,1,3,1,2,1,1,4,4,2,1,2,1,1,1,1,1,5,3,7,4,7,3,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
7,A0501,5,A,5A,Muslim,Enemies,Enemy7,2,21,M,1,2,7,2,5,5,7,7,3,5,7,1,2,6,NA,1,1,1,2,1,2,1,3,3,1,2,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,M,Muslim,2,1,1,1,3,1,4,2,1,1,1,4,1,4,2,3,2,5,1,1,1,3,2,7,6,1,7,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,2,1.183005165925335,-1.5,2
8,A0503,5,A,5A,Muslim,Enemies,Enemy1,2,17,M,3,1,7,6,7,2,7,6,6,4,6,5,5,8,NA,1,1,1,1,1,2,1,2,4,1,1,1,2,3,4,4,4,3,1,1,1,1,1,3,3,1,M,Muslim,1,2,1,1,1,1,4,4,1,1,1,5,1,5,1,NA,1,1,2,1,1,1,5,6,6,6,7,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,6,-0.571172707,-1.5,5
9,A0504,5,A,5A,Hindu,Enemies,Enemy1,2,1,M,4,2,7,7,6,7,5,5,7,5,2,6,2,8,NA,1,3,2,3,1,1,1,1,2,1,1,5,1,1,4,5,7,1,1,2,1,1,1,5,1,3,M,Muslim,1,1,2,1,2,1,3,1,2,2,1,4,1,4,1,1,2,2,1,2,2,1,1,7,2,5,7,1,0,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,7,-1.009717175,-1.5,2
10,A0504,5,A,5A,Hindu,Enemies,Enemy2,2,22,M,4,2,7,7,6,7,5,5,7,5,2,6,2,8,NA,1,3,2,3,1,1,1,1,2,1,1,5,1,1,4,5,7,1,1,2,1,1,1,5,1,3,M,Hindu,2,3,1,1,2,1,3,1,1,5,1,4,7,7,2,2,2,2,1,2,2,1,3,7,6,7,6,1,1,A5,-0.112698181,-0.383883296,-0.617747154,-0.504486918,0.6262552247471905,7,7,-1.009717175,-1.5,2
